City,State,MGrid,Zip,Lat/Long
"""AKIACHAK",AK,AP90gu,99551,"60.87  -161.42"""
"""AKIAK",AK,AP90iv,99552,"60.9  -161.29"""
"""AKUTAN",AK,AO74bd,99553,"54.13  -165.88"""
"""ALAKANUK",AK,AP72tk,99554,"62.44  -164.38"""
"""ALEKNAGIK",AK,BO09qf,99555,"59.24  -158.62"""
"""ALLAKAKET",AK,BP36mn,99720,"66.57  -152.95"""
"""AMBLER",AK,BP17bb,99786,"67.08  -157.9"""
"""ANAKTUVUK PASS",AK,BP48dd,99721,"68.15  -151.71"""
"""ANAKTUVUK",AK,BP48dd,99721,"68.15  -151.71"""
"""ANCHORAGE",AK,BP51bf,99501,"61.22  -149.85"""
"""ANCHORAGE",AK,BP51ad,99502,"61.16  -149.99"""
"""ANCHORAGE",AK,BP51be,99503,"61.18  -149.88"""
"""ANCHORAGE",AK,BP51ee,99504,"61.17  -149.63"""
"""JBER",AK,BP51eh,99505,"61.31  -149.65"""
"""ANCHORAGE",AK,BP51eh,99505,"61.31  -149.65"""
"""FORT RICHARDSON",AK,BP51eh,99505,"61.31  -149.65"""
"""FT RICHARDSON",AK,BP51eh,99505,"61.31  -149.65"""
"""ANCH",AK,BP51eh,99505,"61.31  -149.65"""
"""JBER",AK,BP51cg,99506,"61.27  -149.79"""
"""ANCHORAGE",AK,BP51cg,99506,"61.27  -149.79"""
"""ELMENDORF AFB",AK,BP51cg,99506,"61.27  -149.79"""
"""ANCHORAGE",AK,BP51cd,99507,"61.14  -149.76"""
"""ANCHORAGE",AK,BP51ce,99508,"61.2  -149.82"""
"""ANCHORAGE",AK,BP51be,99509,"61.17  -149.88"""
"""ANCHORAGE",AK,BP51bf,99510,"61.22  -149.88"""
"""ANCHORAGE",AK,BP51bc,99511,"61.11  -149.86"""
"""ANCHORAGE",AK,BP51bf,99513,"61.21  -149.88"""
"""ANCHORAGE",AK,BP51ce,99514,"61.2  -149.82"""
"""ANCHORAGE",AK,BP51bc,99515,"61.11  -149.9"""
"""ANCHORAGE",AK,BP51db,99516,"61.08  -149.7"""
"""ANCHORAGE",AK,BP51ae,99517,"61.19  -149.94"""
"""ANCHORAGE",AK,BP51bd,99518,"61.15  -149.88"""
"""ANCHORAGE",AK,BP51ae,99519,"61.19  -149.98"""
"""ANCHORAGE",AK,BP51bf,99520,"61.21  -149.86"""
"""ANCHORAGE",AK,BP51de,99521,"61.2  -149.74"""
"""ANCHORAGE",AK,BP51ad,99522,"61.15  -149.92"""
"""ANCHORAGE",AK,BP51cd,99523,"61.16  -149.83"""
"""ANCHORAGE",AK,BP51be,99524,"61.18  -149.89"""
"""ANCHORAGE",AK,BP51ae,99529,"61.18  -149.98"""
"""ANCHORAGE",AK,BP51ag,99530,"61.26  -149.97"""
"""INDIAN",AK,BP51ga,99540,"61  -149.43"""
"""ANCHORAGE",AK,BP51ga,99540,"61  -149.43"""
"""ANCHORAGE",AK,BP51bf,99599,"61.21  -149.86"""
"""ANCHORAGE",AK,BP41qk,99695,"61.45  -150.63"""
"""ANCHOR POINT",AK,BO49et,99556,"59.82  -151.59"""
"""NIKOLAEVSK",AK,BO49et,99556,"59.82  -151.59"""
"""ANGOON",AK,CO27sk,99820,"57.44  -134.48"""
"""ANIAK",AK,BP01qe,99557,"61.2  -158.6"""
"""CHUATHBALUK",AK,BP01qe,99557,"61.2  -158.6"""
"""STONY RIVER",AK,BP01qe,99557,"61.2  -158.6"""
"""ANVIK",AK,AP92vp,99558,"62.63  -160.2"""
"""ARCTIC VILLAGE",AK,BP78fc,99722,"68.09  -145.57"""
"""ARCTIC VLG",AK,BP78fc,99722,"68.09  -145.57"""
"""BARROW",AK,BQ11og,99723,"71.28  -156.78"""
"""PRUDHOE BAY",AK,BQ50na,99734,"70.01  -148.88"""
"""BARROW",AK,BQ50na,99734,"70.01  -148.88"""
"""POINT LAY",AK,AP89or,99759,"69.73  -162.82"""
"""BARROW",AK,AP89or,99759,"69.73  -162.82"""
"""NUIQSUT",AK,BP39wt,99789,"69.83  -152.14"""
"""BARROW",AK,BP39wt,99789,"69.83  -152.14"""
"""ATQASUK",AK,BQ10hl,99791,"70.48  -157.39"""
"""BARROW",AK,BQ10hl,99791,"70.48  -157.39"""
"""BEAVER",AK,BP66oh,99724,"66.32  -146.77"""
"""BETHEL",AK,AP90cw,99559,"60.93  -161.8"""
"""ATMAUTLUAK",AK,AP90cw,99559,"60.93  -161.8"""
"""NAPASKIAK",AK,AP90cw,99559,"60.93  -161.8"""
"""NEWTOK",AK,AP90cw,99559,"60.93  -161.8"""
"""TOKSOOK BAY",AK,AP70km,99637,"60.54  -165.14"""
"""BETHEL",AK,AP70km,99637,"60.54  -165.14"""
"""TULUKSAK",AK,AP91tb,99679,"61.06  -160.36"""
"""BETHEL",AK,AP91tb,99679,"61.06  -160.36"""
"""TUNTUTULIAK",AK,AP80qj,99680,"60.41  -162.65"""
"""BETHEL",AK,AP80qj,99680,"60.41  -162.65"""
"""NIGHTMUTE",AK,AP70ol,99690,"60.49  -164.81"""
"""BETHEL",AK,AP70ol,99690,"60.49  -164.81"""
"""BETTLES FIELD",AK,BP37uf,99726,"67.24  -152.27"""
"""BETTLES",AK,BP37uf,99726,"67.24  -152.27"""
"""BREVIG MISSION",AK,AP65rk,99785,"65.44  -166.56"""
"""BREVIG MSN",AK,AP65rk,99785,"65.44  -166.56"""
"""BUCKLAND",AK,AP95kx,99727,"65.97  -161.13"""
"""CANTWELL",AK,BP53uh,99729,"63.33  -148.33"""
"""CENTRAL",AK,BP75jl,99730,"65.47  -145.19"""
"""CHEFORNAK",AK,AP70xd,99561,"60.15  -164.06"""
"""CHEVAK",AK,AP71hn,99563,"61.56  -165.38"""
"""CHICKEN",AK,BP83wu,99732,"63.86  -142.12"""
"""CHIGNIK LAKE",AK,BO06pf,99548,"56.23  -158.74"""
"""CHIGNIK",AK,BO06pf,99548,"56.23  -158.74"""
"""CHIGNIK",AK,BO06th,99564,"56.3  -158.36"""
"""CHIGNIK LAGOON",AK,BO06sh,99565,"56.3  -158.49"""
"""CHIGNIK LAGN",AK,BO06sh,99565,"56.3  -158.49"""
"""CHITINA",AK,BP81kk,99566,"61.45  -143.15"""
"""CHUGIAK",AK,BP51jj,99567,"61.41  -149.17"""
"""CIRCLE",AK,BP75vs,99733,"65.79  -144.2"""
"""CLAM GULCH",AK,BP40hf,99568,"60.21  -151.4"""
"""CLARKS POINT",AK,BO08rt,99569,"58.83  -158.53"""
"""ADAK",AK,AO11pv,99546,"51.9  -176.67"""
"""COLD BAY",AK,AO11pv,99546,"51.9  -176.67"""
"""COLD BAY",AK,AO95uw,99571,"55.92  -160.29"""
"""ADAK",AK,AO95uw,99571,"55.92  -160.29"""
"""NELSON LAGOON",AK,AO95uw,99571,"55.92  -160.29"""
"""COOPER LANDING",AK,BP50cl,99572,"60.49  -149.82"""
"""COOPER LNDG",AK,BP50cl,99572,"60.49  -149.82"""
"""COPPER CENTER",AK,BP71kq,99573,"61.68  -145.14"""
"""CORDOVA",AK,BP70es,99574,"60.79  -145.61"""
"""CHENEGA BAY",AK,BP70es,99574,"60.79  -145.61"""
"""TATITLEK",AK,BP60qv,99677,"60.88  -146.65"""
"""CORDOVA",AK,BP60qv,99677,"60.88  -146.65"""
"""CRAIG",AK,CO35ol,99921,"55.46  -132.83"""
"""CROOKED CREEK",AK,BP11au,99575,"61.86  -157.99"""
"""DEERING",AK,AP86pb,99736,"66.07  -162.73"""
"""FORT GREELY",AK,BP74da,99731,"64.04  -145.73"""
"""DELTA JCT",AK,BP74da,99731,"64.04  -145.73"""
"""DELTA JUNCTION",AK,BP74da,99731,"64.04  -145.73"""
"""DELTA JUNCTION",AK,BP73nq,99737,"63.7  -144.89"""
"""DELTA JCT",AK,BP73nq,99737,"63.7  -144.89"""
"""DOT LAKE",AK,BP73nq,99737,"63.7  -144.89"""
"""DILLINGHAM",AK,BO18bt,99576,"58.82  -157.86"""
"""KOLIGANEK",AK,BO18bt,99576,"58.82  -157.86"""
"""TWIN HILLS",AK,BO18bt,99576,"58.82  -157.86"""
"""EAGLE",AK,BP94jk,99738,"64.43  -141.22"""
"""EAGLE RIVER",AK,BP51jf,99577,"61.21  -149.25"""
"""EEK",AK,AP80we,99578,"60.19  -162.13"""
"""EGEGIK",AK,BO18oi,99579,"58.37  -156.8"""
"""EKWOK",AK,BO19gi,99580,"59.35  -157.48"""
"""ELFIN COVE",AK,CO18uc,99825,"58.1  -136.29"""
"""ELIM",AK,AP84tp,99739,"64.63  -162.34"""
"""EMMONAK",AK,AP82mq,99581,"62.69  -162.96"""
"""NUNAM IQUA",AK,AP72jc,99666,"62.09  -165.18"""
"""ESTER",AK,BP54xu,99725,"64.85  -148.02"""
"""FAIRBANKS",AK,BP64dt,99701,"64.81  -147.72"""
"""COLDFOOT",AK,BP64dt,99701,"64.81  -147.72"""
"""EIELSON AFB",AK,BP64lq,99702,"64.67  -147.04"""
"""FAIRBANKS",AK,BP64lq,99702,"64.67  -147.04"""
"""FORT WAINWRIGHT",AK,BP64et,99703,"64.81  -147.62"""
"""FT WAINWRIGHT",AK,BP64et,99703,"64.81  -147.62"""
"""NORTH POLE",AK,BP64is,99705,"64.77  -147.33"""
"""FAIRBANKS",AK,BP64is,99705,"64.77  -147.33"""
